mmsi,link,users,responses,longliner,pursseiner,trawler,reefers,multigear,other fishing,notfishing,multiple,baddata,not known,other,othertext,websitesfound
412002777,http://crowd.globalfishingwatch.org/project/maptests2/task/409,"sidneyblack-rotchin,katepepler",2,1,1,,,,,,,,,,,
316008961,http://crowd.globalfishingwatch.org/project/maptests2/task/410,"vaiduke2,juliecharbonneau,ninagalle,elizabethnagel,stephanielewis,cailinburmaster",6,,,,,,4,,,,1,1,Lobster boat (pots) - strong seasonality of data is helpful here,"http://sd.ic.gc.ca/pls/engdoc_anon/mmsi_search.Ship_Search_Single?inMMSI=316008961&invesname=joy&inname=&oinmmsi=&incallsign=&invesid=&ininmarsat=,http://sd.ic.gc.ca/pls/engdoc_anon/mmsi_search.Ship_Search_Single?inMMSI=316008961&invesname=nes&inname=&oinmmsi=&incallsign=&invesid=&ininmarsat=,http://sd.ic.gc.ca/pls/engdoc_anon/mmsi_search.Ship_Search_Single?inMMSI=316008961&invesname=vanessa%20joy&inname=&oinmmsi=&incallsign=&invesid=&ininmarsat="
412423199,http://crowd.globalfishingwatch.org/project/maptests2/task/411,"vaiduke2,stephanielewis,juliecharbonneau,elizabethnagel",4,,,,,,1,,,,3,,,
412328565,http://crowd.globalfishingwatch.org/project/maptests2/task/412,"vaiduke2,stephanielewis,juliecharbonneau",3,,,,,,1,,,,2,,,
440000690,http://crowd.globalfishingwatch.org/project/maptests2/task/413,"vaiduke2,juliecharbonneau,ninagalle,sidneyblack-rotchin",4,,,,,,1,,,,3,,,
412418996,http://crowd.globalfishingwatch.org/project/maptests2/task/414,"vaiduke2,juliecharbonneau,ninagalle,sidneyblack-rotchin",4,,,1,,,1,,,,2,,,
412430414,http://crowd.globalfishingwatch.org/project/maptests2/task/415,"vaiduke2,ninagalle,juliecharbonneau",3,,,,,,1,,,,2,,,
251194540,http://crowd.globalfishingwatch.org/project/maptests2/task/416,"vaiduke2,ninagalle,sidneyblack-rotchin",3,,,,,,1,,,,2,,,
200000055,http://crowd.globalfishingwatch.org/project/maptests2/task/417,"vaiduke2,ninagalle,sidneyblack-rotchin",3,,,,,,,,,3,,,,
227101600,http://crowd.globalfishingwatch.org/project/maptests2/task/418,"vaiduke2,ninagalle,sidneyblack-rotchin",3,,,3,,,,,,,,,,"http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28227681&search_type=advanced&search_id=8497,Fleetmon"
412479576,http://crowd.globalfishingwatch.org/project/maptests2/task/419,"vaiduke2,ninagalle,sidneyblack-rotchin",3,,,,,,1,,,,2,,,
412061922,http://crowd.globalfishingwatch.org/project/maptests2/task/420,"vaiduke2,ninagalle,sidneyblack-rotchin",3,1,,,,,,,,1,1,,,
110701275,http://crowd.globalfishingwatch.org/project/maptests2/task/421,"vaiduke2,ninagalle,juliecharbonneau",3,,,,,,,,,1,2,,,
412432048,http://crowd.globalfishingwatch.org/project/maptests2/task/422,"vaiduke2,ninagalle,juliecharbonneau",3,,,,,,1,,,,2,,,
247155210,http://crowd.globalfishingwatch.org/project/maptests2/task/423,"vaiduke2,ninagalle,juliecharbonneau",3,,3,,,,,,,,,,,"http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27821358&search_type=simple&search_id=4976,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27821358&search_type=advanced&search_id=1230,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27821358&search_type=advanced&search_id=6097"
412437435,http://crowd.globalfishingwatch.org/project/maptests2/task/424,"vaiduke2,ninagalle,juliecharbonneau",3,,,,,,1,,,,2,,,
257488620,http://crowd.globalfishingwatch.org/project/maptests2/task/425,"vaiduke2,ninagalle,sidneyblack-rotchin",3,,1,,,,1,,,,1,,,"http://www.fiskeridir.no/register/fartoyreg/?edbid=1984010370,http://ship-info.com/prog/ship.asp?id=K118047,Marine Traffic - there was a photo. "
412448749,http://crowd.globalfishingwatch.org/project/maptests2/task/426,"vaiduke2,ninagalle,sidneyblack-rotchin",3,,,,,,1,,,1,1,,,
416004801,http://crowd.globalfishingwatch.org/project/maptests2/task/427,"vaiduke2,sidneyblack-rotchin,juliecharbonneau",3,,,,,,2,,,,1,,,
412444188,http://crowd.globalfishingwatch.org/project/maptests2/task/428,"vaiduke2,juliecharbonneau,kristinaboerder",3,,,,,,1,,,,2,,,
224055250,http://crowd.globalfishingwatch.org/project/maptests2/task/429,"vaiduke2,juliecharbonneau,kristinaboerder",3,,,3,,,,,,,,,,"http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28042546&search_type=simple&search_id=4111,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28042546&search_type=advanced&search_id=4527,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28042546&search_type=advanced&search_id=8460"
412447295,http://crowd.globalfishingwatch.org/project/maptests2/task/430,"vaiduke2,kristinaboerder,juliecharbonneau,isabelfleisher,clairechristie,sidneyblack-rotchin,katepepler,ciarawillis",8,,1,,,,1,,,1,5,,,
412464376,http://crowd.globalfishingwatch.org/project/maptests2/task/431,"vaiduke2,kristinaboerder,juliecharbonneau,isabelfleisher,sidneyblack-rotchin",5,,,,,,1,,,1,3,,,
