mmsi,model_label,student_label,student_model_agreement,model_score,type,type_score,student_confidence,pybossa_url,othertext,KRISTINA'S LABEL
224154000,Longliner,longliner,1,0.98,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4114,,
226220000,Trawler,trawler,1,1,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4118,,
237149000,Trawler,trawler,1,0.93,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4128,,
246161000,Trawler,trawler,1,1,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4132,,
247073090,Trawler,trawler,1,0.51,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4133,,
247081680,Trawler,trawler,1,0.82,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4134,,
250103560,Trawler,trawler,1,1,90,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4136,,
367064000,Trawler,trawler,1,1,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4158,,
431802000,Longliner,longliner,1,1,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4226,,
520171000,Longliner,longliner,1,1,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4235,,
540002200,Longliner,longliner,1,0.87,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4238,,
224233000,Longliner,longliner,1,1,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4572,,
224526000,Trawler,trawler,1,0.98,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4575,,
224992000,Longliner,longliner,1,0.98,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4580,,
227468000,Trawler,trawler,1,0.98,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4589,,
228236000,Trawler,trawler,1,0.86,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4593,,
228380000,Trawler,trawler,1,0.54,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4594,,
231010000,Trawler,trawler,1,0.63,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4595,,
225981169,Purse seine,not_fishing,0,0.74,36,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4117,,
227069470,Purse seine,not_fishing,0,0.69,36,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4119,,
227579000,Longliner,trawler,0,0.62,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4121,,
227698770,Purse seine,not_fishing,0,0.8,50,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4122,,
235009920,Purse seine,not_fishing,0,0.6,35,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4125,,
235103844,Purse seine,not_fishing,0,0.79,40,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4127,,
245369000,Longliner,trawler,0,0.76,30,0.999957349,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4131,,
257205500,Trawler,not_fishing,0,0.93,52,0.99997305,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4142,,
258094960,Purse seine,not_fishing,0,0.55,37,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4145,,
273375800,Trawler,not_fishing,0,0.57,70,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4149,,
273815050,Longliner,reefer,0,0.54,79,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4151,,
310614000,Longliner,not_fishing,0,0.79,91,0.978364389,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4153,,
367450270,Purse seine,not_fishing,0,0.75,36,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4160,,
367578250,Longliner,not_fishing,0,0.77,37,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4161,,
367628440,Longliner,not_fishing,0,0.75,37,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4162,,
403701810,Purse seine,not_fishing,0,0.8,54,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4165,,
457900169,Trawler,not_fishing,0,0.56,70,0.999339061,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4233,,
525015964,Longliner,not_fishing,0,0.52,60,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4237,,
563004750,Trawler,not_fishing,0,0.86,31,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4239,,
701027000,Longliner,trawler,0,0.66,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4244,,
725000261,Longliner,trawler,0,0.98,30,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4245,,
983191061,Longliner,not_fishing,0,0.93,37,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4249,,
211479260,Purse seine,not_fishing,0,0.95,37,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4553,,
219010949,Longliner,not_fishing,0,0.51,36,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4557,,
219589000,Trawler,not_fishing,0,0.95,51,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4558,,
224068340,Longliner,trawler,0,0.5,30,0.795429,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4565,,
224072870,Longliner,trawler,0,0.55,99,1,1,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4566,,
