mmsi	link	users	responses	longliner	pursseiner	trawler	reefers	multigear	other fishing	notfishing	multiple	baddata	not known	other	othertext	websitesfound
12345888	http://crowd.globalfishingwatch.org/project/maptests2/task/4108	juliecharbonneau,kristinaboerder,stephanielewis	3							1			2			
200000075	http://crowd.globalfishingwatch.org/project/maptests2/task/4109	juliecharbonneau,kristinaboerder,stephanielewis	3							2			1			http://www.shipspotting.com/gallery/photo.php?lid=1419094
200140810	http://crowd.globalfishingwatch.org/project/maptests2/task/4110	juliecharbonneau,kristinaboerder,stephanielewis	3										3			
211481051	http://crowd.globalfishingwatch.org/project/maptests2/task/4111	juliecharbonneau,kristinaboerder,stephanielewis	3										3			
214182117	http://crowd.globalfishingwatch.org/project/maptests2/task/4112	juliecharbonneau,kristinaboerder,stephanielewis	3				2						1			http://www.marinetraffic.com/en/ais/details/ships/214182117
224104340	http://crowd.globalfishingwatch.org/project/maptests2/task/4113	juliecharbonneau,kristinaboerder,stephanielewis,clairechristie	4		2								2			http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/030021773#.Vt4ZM_krLIU,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28014214&search_type=advanced&search_id=7591
224154000	http://crowd.globalfishingwatch.org/project/maptests2/task/4114	kristinaboerder,katepepler,ciarawillis	3	3												http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28058609&search_type=advanced&search_id=2979,http://www.fao.org/figis/vrmf/finder/search/#basic,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/013000803#.Vt912JwrLIU
225378000	http://crowd.globalfishingwatch.org/project/maptests2/task/4115	kristinaboerder,katepepler,ciarawillis,isabelfleisher	4	3	1											http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28066204&search_type=advanced&search_id=5344,http://www.fao.org/figis/vrmf/finder/search/#basic,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/030034713#.Vt92PJwrLIU,http://www.shippingexplorer.net/en/ship/rodrigez-parapar/2527521
225980581	http://crowd.globalfishingwatch.org/project/maptests2/task/4116	kristinaboerder,katepepler,stephanielewis,ciarawillis	4	2		1							1			http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28110029&search_type=advanced&search_id=7101,http://www.shipspotting.com/gallery/photo.php?lid=2134081
225981169	http://crowd.globalfishingwatch.org/project/maptests2/task/4117	kristinaboerder,katepepler,stephanielewis,ciarawillis	4							4						https://www.fleetmon.com/vessels/noah_0_8374828/?language=en
226220000	http://crowd.globalfishingwatch.org/project/maptests2/task/4118	katepepler,stephanielewis,ninagalle	3			3										http://www.fao.org/figis/vrmf/finder/search/#basic,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/030062617#.Vt949UIrLIU,http://www.fao.org/figis/vrmf/finder/search/#quick
227069470	http://crowd.globalfishingwatch.org/project/maptests2/task/4119	katepepler,stephanielewis,ciarawillis	3							3						http://www.marinetraffic.com/en/ais/details/ships/227069470
