mmsi,label,label_score,type,type_score,pybossa_track_checked,track_check_suspicion,fishing?,,
219133000,Trawler,0.851812541,31,1,n,pleasure craft,0,,y = Alex label correct
224006770,Longliner,0.943927884,99,0.99474606,n,"fishing, gillnets?",0,,n = Alex label incorrect
354055000,Longliner,0.943434179,52,1,n,pleasure craft,0,,
576190000,Longliner,0.985610068,90,1,n,trawl,1,,0 = no fishing
701319841,Purse seine,0.837321281,10,0.913646055,n,trawl,1,,1 = fishing
900008509,Trawler,0.997094631,70,1,n,purse seine,1,,
209128000,Trawler,0.867338359,38,1,n,,0,,
211154980,Longliner,0.983069897,36,1,n,,0,,
211465950,Longliner,0.972391307,99,1,n,,0,,
212121212,Longliner,0.840588585,15,0.952008929,n,,0,,
224012730,Purse seine,0.809193671,36,1,n,kicking out near shore will eliminate things like this,0,,
224084620,Purse seine,0.840577483,2,1,n,,0,,
224226870,Purse seine,0.903229833,60,1,n,,0,,
224503230,Purse seine,0.884438455,56,1,n,,0,,
224724000,Longliner,0.984134495,36,0.80009995,n,trawl,1,,
224935540,Purse seine,0.839048386,37,1,n,,0,,
227015120,Trawler,0.95690161,36,1,n,,0,,
227241250,Trawler,0.851336539,37,1,n,,0,,
227258290,Purse seine,0.938463271,37,1,n,,0,,
231006000,Longliner,0.80548948,51,1,n,,0,,
235000632,Longliner,0.887444735,36,1,n,,0,,
235002453,Purse seine,0.914948463,50,1,n,,0,,
235090871,Longliner,0.822823644,37,1,n,,0,,
235091473,Purse seine,0.933117628,51,1,n,,0,,
235095543,Longliner,0.827885687,36,1,n,,0,,
235096548,Longliner,0.887535572,36,1,n,,0,,
235106574,Purse seine,0.915919781,51,1,n,,0,,
238198000,Trawler,0.885561705,7,1,n,,0,,
244650004,Purse seine,0.835069656,37,1,n,,0,,
244780598,Purse seine,0.836957872,79,1,n,,0,,
244790381,Purse seine,0.916549861,36,1,n,,0,,
245999000,Trawler,0.999137998,90,1,n,,0,,
247119520,Longliner,0.98286128,36,1,n,,0,,
247191500,Trawler,0.999621391,52,1,n,,0,,
249000066,Purse seine,0.822231889,89,1,n,,0,,
250000111,Purse seine,0.899119318,60,0.97080292,n,,0,,
250414000,Trawler,0.974216461,90,1,n,,0,,
251199000,Longliner,0.830341756,39,1,n,,0,,
257779360,Purse seine,0.902905107,37,1,n,,0,,
263906380,Purse seine,0.853080213,36,1,n,,0,,
264160092,Trawler,0.996114612,80,0.990218642,n,,0,,
265638130,Longliner,0.852552533,37,1,n,,0,,
265722600,Longliner,0.988988698,36,1,n,,0,,
273315640,Trawler,0.951958001,70,1,n,,0,,
273847710,Longliner,0.897049904,70,1,n,,0,,
311227000,Longliner,0.852165639,89,0.999841822,n,,0,,
316017683,Longliner,0.833753169,36,1,n,,0,,
333300758,Trawler,0.821438432,70,1,n,,0,,
333888999,Purse seine,0.997227371,37,1,n,,0,,
338139723,Longliner,0.874650359,36,1,n,,0,,
338145727,Purse seine,0.935638487,31,1,n,,0,,
338173208,Purse seine,0.949868381,37,1,n,,0,,
338175418,Purse seine,0.847243786,37,1,n,,0,,
352432000,Trawler,0.971652567,90,0.999903754,n,,0,,
352689000,Purse seine,0.906184793,89,0.998402556,n,,0,,
353494000,Trawler,0.997321308,90,1,n,,0,,
367588860,Longliner,0.890473247,36,1,n,,0,,
367599150,Longliner,0.990649164,37,1,n,,0,,
367666000,Purse seine,0.996391678,70,1,n,,0,,
376761000,Trawler,0.837675333,52,1,n,,0,,
400121500,Purse seine,0.929434061,37,1,n,,0,,
412421520,Trawler,0.820314169,70,1,n,,0,,
412426090,Trawler,0.842307687,70,1,n,,0,,
412429460,Trawler,0.817386568,70,1,n,,0,,
412434226,Purse seine,0.805898428,37,1,n,other,0,,
412570440,Trawler,0.904643118,70,1,n,other,0,,
412702190,Trawler,0.902086794,70,1,n,,0,,
412798016,Trawler,0.995653629,79,1,n,,0,,
412888880,Trawler,0.829994857,70,1,n,,0,,
413553190,Trawler,0.824205101,70,1,n,,0,,
413553230,Trawler,0.837604225,70,1,n,,0,,
413762607,Purse seine,0.825495839,70,1,n,,0,,
413766622,Purse seine,0.994529665,70,0.998917749,n,,0,,
413767005,Purse seine,0.830177903,70,1,n,,0,,
413779571,Purse seine,0.842018187,70,1,n,,0,,
413782871,Purse seine,0.88254267,70,1,n,,0,,
413787715,Trawler,0.84452045,70,1,n,,0,,
413792516,Trawler,0.834954977,70,1,n,,0,,
413802042,Purse seine,0.960743964,70,1,n,,0,,
413807411,Trawler,0.996806264,70,1,n,,0,,
413808319,Purse seine,0.822886825,70,1,n,,0,,
413809107,Purse seine,0.962678015,52,1,n,,0,,
413811523,Purse seine,0.867149353,70,1,n,,0,,
413814162,Trawler,0.877157331,70,1,n,,0,,
413814949,Trawler,0.864407957,69,0.999044738,n,ferry,0,,
413830574,Purse seine,0.90566963,70,1,n,,0,,
413950083,Purse seine,0.906163931,70,1,n,,0,,
413962155,Purse seine,0.89406085,70,1,n,,0,,
413963176,Trawler,0.856349885,70,0.999160369,n,,0,,
413964488,Trawler,0.883237123,70,1,n,,0,,
413976502,Trawler,0.965296268,70,1,n,,0,,
413977702,Trawler,0.891570628,70,1,n,,0,,
413982134,Purse seine,0.826995671,70,1,n,,0,,
413984759,Trawler,0.890039861,70,1,n,,0,,
413987973,Trawler,0.830810189,70,1,n,,0,,
413996094,Purse seine,0.814316571,70,1,n,,0,,
413999862,Trawler,0.992612362,70,1,n,,0,,
419000244,Longliner,0.82320708,35,1,n,,0,,
419072800,Trawler,0.975160182,70,1,n,,0,,
